0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:21:58 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 2130
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:21:58 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
127.0.0.1 - - [28/Nov/2016:12:22:24 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:12:22:24 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3569
127.0.0.1 - - [28/Nov/2016:12:22:24 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1774
127.0.0.1 - - [28/Nov/2016:12:22:24 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:33 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:33 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:33 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:50 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:50 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:50 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:53 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:53 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:56 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:56 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:22:59 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:23:02 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:23:02 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:28:28 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:28:28 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:28:30 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:28:30 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:28:56 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:30:05 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:30:05 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:30:06 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:30:31 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:30:31 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:26 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:26 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:26 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:28 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:31 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:39 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:39 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:12:32:42 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:26:27 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:26:27 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:26:27 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:50:06 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:50:06 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:50:06 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:53:51 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:14:57:46 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:14:57:46 +0530] "GET /weatherapp/controllers.js HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:14:57:46 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 200 1800
127.0.0.1 - - [28/Nov/2016:14:57:46 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [28/Nov/2016:14:57:57 +0530] "GET /weatherapp/parsing.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:14:58:17 +0530] "GET /weatherapp/weatherview.html HTTP/1.1" 304 -
127.0.0.1 - - [28/Nov/2016:14:58:17 +0530] "GET /weatherapp/%7B%7Bicoimg%7D%7D HTTP/1.1" 404 1058
